dataset,standard_score
realTraffic/speed_t4013.csv,96.5446166835
realTraffic/TravelTime_387.csv,60.3127371543
realKnownCause/rogue_agent_key_updown.csv,-8.45793569
realTweets/Twitter_volume_PFE.csv,52.1707188824
artificialNoAnomaly/art_flatline.csv,100.0
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,46.5818352861
realAWSCloudwatch/ec2_network_in_257a54.csv,92.9896283455
realTweets/Twitter_volume_KO.csv,58.2831810553
realAdExchange/exchange-3_cpm_results.csv,93.2171724023
realTweets/Twitter_volume_FB.csv,79.2842562615
realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,72.7347668344
realTraffic/TravelTime_451.csv,0.0
artificialNoAnomaly/art_daily_small_noise.csv,100.0
realTweets/Twitter_volume_UPS.csv,61.3066800869
realTraffic/occupancy_t4013.csv,90.7804227725
realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,93.8985781149
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,92.7135329385
realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,90.1507607483
realTweets/Twitter_volume_GOOG.csv,50.1807872863
realAdExchange/exchange-2_cpm_results.csv,71.9583187773
realAdExchange/exchange-3_cpc_results.csv,61.9930855637
realKnownCause/ec2_request_latency_system_failure.csv,80.7113092403
realTraffic/occupancy_6005.csv,92.0530044791
realAdExchange/exchange-4_cpc_results.csv,27.5271569193
realTweets/Twitter_volume_CRM.csv,91.909728459
artificialWithAnomaly/art_increase_spike_density.csv,0.0
artificialNoAnomaly/art_daily_perfect_square_wave.csv,100.0
realAdExchange/exchange-4_cpm_results.csv,46.8969782654
realAWSCloudwatch/grok_asg_anomaly.csv,58.4743260293
realAWSCloudwatch/elb_request_count_8c0756.csv,92.7229453375
artificialNoAnomaly/art_daily_no_noise.csv,100.0
realTweets/Twitter_volume_AAPL.csv,67.4406219377
artificialWithAnomaly/art_daily_jumpsdown.csv,91.8656209901
realTraffic/speed_6005.csv,75.2184631891
artificialWithAnomaly/art_load_balancer_spikes.csv,85.2209401926
realAWSCloudwatch/ec2_network_in_5abac7.csv,90.3136038945
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,31.0810498965
artificialWithAnomaly/art_daily_jumpsup.csv,92.9896283455
realTweets/Twitter_volume_AMZN.csv,63.9696647631
realTweets/Twitter_volume_CVS.csv,56.7195205909
realKnownCause/nyc_taxi.csv,54.01243597
realAdExchange/exchange-2_cpc_results.csv,0.0
realKnownCause/cpu_utilization_asg_misconfiguration.csv,75.6880871194
artificialWithAnomaly/art_daily_nojump.csv,0.0
realTweets/Twitter_volume_IBM.csv,75.697734789
realKnownCause/machine_temperature_system_failure.csv,70.3389439498
realKnownCause/ambient_temperature_system_failure.csv,83.357091906
realTraffic/speed_7578.csv,90.1861354489
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,99.2283651522
realKnownCause/rogue_agent_key_hold.csv,-2.75
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,92.1990272686
realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,93.0766494588
realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,27.080085155
artificialWithAnomaly/art_daily_flatmiddle.csv,92.062765989
artificialNoAnomaly/art_noisy.csv,100.0
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,36.2044533145
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,100.0
Totals,61.6219772129
